seed, success, terminated, truncated, episode_length, max_reward        , max_coverage      , replan_count, first_replan_latency_ms, mean_replan_latency_ms, p95_replan_latency_ms, steady_mean_replan_latency_ms, steady_p95_replan_latency_ms, mean_action_delta, p95_action_delta, max_action_delta, video_path
   0, False  , False     , True     ,            300, 0.9638628343998701, 0.9156696926798765,           38,      1527.2766309972212,     1265.9490512629227,    1273.1132552495183,            1258.8861437025362,           1269.6814418006397,         8.953886 ,        21.979364,        37.923725, outputs/eval/example_pusht_diffusion/failure_seed_000.mp4
   1, True   , True      , False    ,            208, 1.0               , 0.9521562690328471,           26,      1306.0213790013222,     1267.333385461685 ,    1299.416777251281 ,            1265.7858657200995,           1278.616956400947 ,         9.604019 ,        26.203892,        46.164948, outputs/eval/example_pusht_diffusion/success_seed_001.mp4
   2, True   , True      , False    ,            200, 1.0               , 0.9661270572724787,           25,      1304.4600949979213,     1268.6569471996336,    1300.8704457977728,            1267.165149374705 ,           1284.5457415480269,         7.215862 ,        20.666685,        37.09285 , outputs/eval/example_pusht_diffusion/success_seed_002.mp4
   3, True   , True      , False    ,            273, 1.0               , 0.9666889344032706,           35,      1304.8867949983105,     1258.7246319428752,    1282.3058142002992,            1257.3669212647742,           1270.521953950447 ,         8.508098 ,        27.357971,        40.47133 , outputs/eval/example_pusht_diffusion/success_seed_003.mp4
   4, False  , False     , True     ,            300, 0.9987700683655367, 0.9488315649472598,           38,      1291.8911970009503,     1250.1831955791874,    1272.363325898732 ,            1249.0559522975182,           1259.7420613994473,         9.937044 ,        23.044748,        51.12481 , outputs/eval/example_pusht_diffusion/failure_seed_004.mp4
   5, False  , False     , True     ,            300, 0.9157704427441814, 0.8699819206069723,           38,      1289.772895997885 ,     1276.8321662102894,    1347.7438378518852,            1276.4824167565707,           1353.2707568017936,         4.2329984,        14.632738,        30.00545 , outputs/eval/example_pusht_diffusion/failure_seed_005.mp4
   6, True   , True      , False    ,            121, 1.0               , 0.9518835461622066,           16,      1516.0002680022444,     1281.5102567494705,    1381.8065734994889,            1265.877589332619 ,           1294.511517198771 ,        10.752088 ,        37.312744,        69.42864 , outputs/eval/example_pusht_diffusion/success_seed_006.mp4
   7, True   , True      , False    ,            263, 1.0               , 0.9631520133345757,           33,      1406.5378380000766,     1249.7704861513437,    1268.7317421994521,            1244.8715064060707,           1262.995828250132 ,         8.337737 ,        20.64623 ,        44.632557, outputs/eval/example_pusht_diffusion/success_seed_007.mp4
   8, True   , True      , False    ,            194, 1.0               , 0.9548115202514302,           25,      1417.4019920028513,     1282.7640130002692,    1415.0940084022295,            1277.154097208495 ,           1401.4898790996085,        10.677757 ,        32.98352 ,        43.15325 , outputs/eval/example_pusht_diffusion/success_seed_008.mp4
   9, True   , True      , False    ,            215, 1.0               , 0.9516360039015257,           27,      1427.5878230000671,     1282.4680920372582,    1424.286836300962 ,            1276.886563923304 ,           1397.0504320022883,         8.371013 ,        25.585333,        45.73042 , outputs/eval/example_pusht_diffusion/success_seed_009.mp4
